,Category,Description,Family,Family and Type,Mark,Type,Type Mark,Assembly Code,Assembly Description,Discipline,Start,Finish,Duration,UnitCost
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a261,Walls,,MURO_TIPOA,MURO_TIPOA: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a3b2,Walls,,MURO_TIPOB,MURO_TIPOB: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a3dc,Walls,,MURO_TIPOB1,MURO_TIPOB1: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a425,Walls,,MURO_TIPOA1,MURO_TIPOA1: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a447,Walls,,MURO_TIPOB2,MURO_TIPOB2: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a593,Walls,,MURO_TIPOA2,MURO_TIPOA2: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a5b5,Walls,,MURO_TIPOB3,MURO_TIPOB3: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a5d7,Walls,,MURO_TIPOB4,MURO_TIPOB4: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a678,Walls,,MURO_TIPOA4,MURO_TIPOA4: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a69a,Walls,,MURO_TIPOB6,MURO_TIPOB6: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a6ca,Walls,,MURO_TIPOA3,MURO_TIPOA3: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004a6ec,Walls,,MURO_TIPOB5,MURO_TIPOB5: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
