,Category,Description,Family,Family and Type,Mark,Type,Type Mark,Assembly Code,Assembly Description,Revit.ElementId
67,Railings,,Railing,Railing: Glass Panel - Bottom Fill,,Glass Panel - Bottom Fill,,E2010.90,Otros Mobiliarios Fijos,dd08301f-762b-42b0-9ec5-5ab650d68ce7-000526bf
68,Plumbing Fixtures,,Toilet-Domestic-3D,Toilet-Domestic-3D: Toilet-Domestic-3D-NT,1,Toilet-Domestic-3D-NT,,D2010.60,Accesorios de Fontanería,7a17b70b-361c-4bbe-a8d8-4df5d5fe80a4-00053ce7
69,Furniture,,Bed-Box,Bed-Box: 120x180,,120x180,,E2050.30,Muebles,a81f9b67-96d6-4e5f-a601-9d6636aa17dc-00054cb8
70,Furniture,,Bed-Box,Bed-Box: 90x180,,90x180,,E2050.30,Muebles,a81f9b67-96d6-4e5f-a601-9d6636aa17dc-00054ee9
71,Furniture,,Bed-Box,Bed-Box: 90x180,,90x180,,E2050.30,Muebles,a81f9b67-96d6-4e5f-a601-9d6636aa17dc-00054efb
72,Furniture,,Meson,Meson: Meson,,Meson,,E2050.30,Muebles,2fc7e0f7-552d-4c51-abaf-f13c30f074b3-000556e0
73,Furniture,,Sofa-Pensi,Sofa-Pensi: 65 ,,65 ,,E2050.30,Muebles,2fc7e0f7-552d-4c51-abaf-f13c30f074b3-00055bec
74,Generic Models,,CP2,CP2: CP2,P2,CP2,,C1040.50,Puertas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-000575b3
75,Generic Models,,EST_CUB,EST_CUB: EST_CUB,,EST_CUB,CUBIERTA,B1020.10,Marco Estructural del Techo,24da2748-7198-4d74-a0fc-c0e2167153ad-00057a7e
76,Generic Models,,P2,P2: P2,PC,P2,,C1040.50,Puertas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-00057f32
77,Generic Models,,P2,P2: P2,PC,P2,,C1040.50,Puertas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-00058210
78,Generic Models,,CP2,CP2: CP2,P2,CP2,,C1040.50,Puertas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-0005836f
